cod_transacao;num_conta;data_transacao;nome_transacao;valor_transacao
47847;849;2022-12-30 00:00:00.443449 UTC;Compra Débito;-179962
21766;681;2019-06-19 21:14:42 UTC;Compra Crédito;-140502
56490;199;2022-12-22 22:31:30 UTC;TED - Realizado;-132100
48320;28;2019-08-16 10:00:19 UTC;Compra Débito;-122976
52386;559;2022-12-25 07:53:47 UTC;Pix - Realizado;-121833
2908;914;2017-11-26 01:00:52 UTC;Compra Crédito;-107307
69274;90;2015-12-25 18:14:45 UTC;Compra Débito;-106696
39125;695;2022-12-30 00:00:00.817355 UTC;Compra Crédito;-98668
6500;911;2012-04-15 19:55:49 UTC;Compra Débito;-98159
42235;620;2012-10-28 11:29:19 UTC;DOC - Realizado;-96540
67515;770;2022-12-29 23:59:59.86748 UTC;DOC - Realizado;-94480
54719;384;2022-12-29 23:59:59.948953 UTC;Compra Crédito;-89506
62952;697;2016-06-01 16:39:18 UTC;TED - Realizado;-85240
56512;575;2022-05-17 06:17:23 UTC;TED - Realizado;-82050
68351;163;2022-12-29 23:59:59.330922 UTC;Compra Débito;-81402
55452;236;2022-12-14 04:30:45 UTC;Compra Crédito;-81192
41309;260;2022-01-04 07:00:21 UTC;Compra Débito;-78526
27264;157;2020-07-08 13:44:26 UTC;TED - Realizado;-78020
69762;24;2022-12-30 00:00:00.096785 UTC;Compra Débito;-76877
50118;417;2022-12-30 00:00:00.194629 UTC;Compra Crédito;-75864
60525;75;2022-07-31 19:40:43 UTC;Compra Crédito;-73698
19148;376;2016-05-23 13:24:37 UTC;Compra Crédito;-71397
15879;100;2019-05-25 14:41:17 UTC;Compra Débito;-68782
40190;700;2022-12-29 23:55:38 UTC;Compra Crédito;-68685
30596;152;2021-05-17 10:55:09 UTC;Compra Débito;-68608
71440;681;2022-12-30 00:00:00.936138 UTC;TED - Realizado;-68310
29578;500;2017-08-07 13:41:17 UTC;TED - Realizado;-68220
47641;94;2022-12-29 23:59:33 UTC;Compra Crédito;-67865
